eventId,name,location,realLifeLocation,performerId,musicGenres,performanceStart,performanceEnd
1,Rock Night,Esplanade Concert Hall,"1 Esplanade Dr, Singapore 038981",1,"Rock,English",2024-05-14 20:00:00+00,2024-05-14 23:00:00+00
2,Rock On!,Hard Rock Cafe,"50 Cuscaden Road, Singapore 249724",1,"Rock,English",2024-05-21 21:00:00+00,2024-05-22 00:00:00+00
3,Rock Fest,The Star Theatre,"1 Vista Exchange Green, Singapore 138617",1,"Rock,English",2024-05-28 19:00:00+00,2024-05-28 22:00:00+00
4,Jazz Evening,Blu Jaz Cafe,"11 Bali Ln, Singapore 189848",2,"Jazz,English",2024-05-14 18:00:00+00,2024-05-14 21:00:00+00
5,Smooth Jazz Night,Jazz @ Southbridge,"82 Boat Quay, Singapore 049870",2,"Jazz,English",2024-05-18 20:00:00+00,2024-05-18 23:00:00+00
6,Jazz & Blues,The Jazz Loft,"10A Jiak Chuan Road, Singapore 089264",2,"Jazz,Blues,English",2024-05-25 19:00:00+00,2024-05-25 22:00:00+00
7,Classical Night,Victoria Concert Hall,"9 Empress Pl, Singapore 179556",3,"Classical",2024-05-14 19:00:00+00,2024-05-14 22:00:00+00
8,Symphony Evening,Esplanade Concert Hall,"1 Esplanade Dr, Singapore 038981",3,"Classical",2024-05-19 18:00:00+00,2024-05-19 21:00:00+00
9,Classical Vibes,Singapore Conference Hall,"7 Shenton Way, Singapore 068810",3,"Classical",2024-05-24 19:00:00+00,2024-05-24 22:00:00+00
10,Pop Fiesta,The Star Theatre,"1 Vista Exchange Green, Singapore 138617",4,"Pop,Top 40s",2024-05-14 20:00:00+00,2024-05-14 23:00:00+00
11,Pop Extravaganza,Marina Bay Sands Theatre,"10 Bayfront Ave, Singapore 018956",4,"Pop,Top 40s",2024-05-22 20:00:00+00,2024-05-22 23:00:00+00
12,Top 40 Hits Night,Zouk Singapore,"3C River Valley Road, The Cannery, Singapore 179022",4,"Pop,Top 40s",2024-05-29 21:00:00+00,2024-05-30 00:00:00+00
13,Indie Vibes,Kult Kafe,"11 Upper Wilkie Rd, Singapore 228120",5,"Indie,Mandopop",2024-05-14 17:00:00+00,2024-05-14 20:00:00+00
14,Indie Fest,The Projector,"6001 Beach Road, #05-00 Golden Mile Tower, Singapore 199589",5,"Indie,Mandopop",2024-05-20 18:00:00+00,2024-05-20 21:00:00+00
15,Mandopop Night,The Esplanade Outdoor Theatre,"8 Raffles Ave, Singapore 039802",5,"Mandopop",2024-05-27 19:00:00+00,2024-05-27 22:00:00+00
